Date,Price,Open,High,Low,Change_%,DayOfWeek
2000-07-03,287.9,289.65,287.9,287.9,-0.76,Monday
2000-07-04,286.75,287.8,286.75,286.75,-0.4,Tuesday
2000-07-05,284.15,286.85,284.15,284.15,-0.91,Wednesday
2000-07-06,283.5,283.85,283.5,283.5,-0.23,Thursday
2000-07-07,283.65,283.6,283.65,283.65,0.05,Friday
2000-07-10,283.95,283.6,283.95,283.95,0.11,Monday
2000-07-11,282.5,284.05,282.5,282.5,-0.51,Tuesday
2000-07-12,280.75,282.65,280.75,280.75,-0.62,Wednesday
2000-07-13,280.25,280.65,280.25,280.25,-0.18,Thursday
2000-07-14,281.35,280.55,281.35,281.35,0.39,Friday
2000-07-17,283.55,281.15,283.55,283.55,0.78,Monday
2000-07-18,282.65,283.55,282.65,282.65,-0.32,Tuesday
2000-07-19,279.15,282.6,279.15,279.15,-1.24,Wednesday
2000-07-20,280.25,279.05,280.25,280.25,0.39,Thursday
2000-07-21,280.35,280.5,280.35,280.35,0.04,Friday
2000-07-24,279.25,280.05,279.25,279.25,-0.39,Monday
2000-07-25,279.15,279.25,279.15,279.15,-0.04,Tuesday
2000-07-26,279.75,279.3,279.75,279.75,0.21,Wednesday
2000-07-27,278.5,279.95,278.5,278.5,-0.45,Thursday
2000-07-28,278.4,278.55,278.4,278.4,-0.04,Friday
2000-07-31,277.25,278.15,277.25,277.25,-0.41,Monday
2000-08-01,277.35,277.55,277.35,277.35,0.04,Tuesday
2000-08-02,277.55,277.5,277.55,277.55,0.07,Wednesday
2000-08-03,274.0,277.4,274.0,274.0,-1.28,Thursday
2000-08-04,273.25,274.05,273.25,273.25,-0.27,Friday
2000-08-07,273.75,272.75,273.75,273.75,0.18,Monday
2000-08-08,273.25,273.85,273.25,273.25,-0.18,Tuesday
2000-08-09,272.85,273.75,272.85,272.85,-0.15,Wednesday
2000-08-10,272.75,272.25,272.75,272.75,-0.04,Thursday
2000-08-11,275.15,272.7,275.15,275.15,0.88,Friday
2000-08-14,274.75,275.1,274.75,274.75,-0.15,Monday
2000-08-15,274.65,274.75,274.65,274.65,-0.04,Tuesday
2000-08-16,277.2,274.7,277.2,277.2,0.93,Wednesday
2000-08-17,277.6,277.75,277.6,277.6,0.14,Thursday
2000-08-18,276.65,277.35,276.65,276.65,-0.34,Friday
2000-08-21,275.25,276.7,275.25,275.25,-0.51,Monday
2000-08-22,273.75,274.25,273.75,273.75,-0.54,Tuesday
2000-08-23,271.25,273.55,271.25,271.25,-0.91,Wednesday
